Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
1.0317,0.000133303,0.0112324,0.0110898,1.0135,1.03157,1.05048,7186.91,7076.63,1.00022
1.0317,0.000133303,0.0112324,0.0110898,1.0135,1.03157,1.05048,7186.91,7076.63,1.00022
1.01963,0.00014835,0.0127199,0.0125947,0.998935,1.01962,1.04098,7366.63,7677.03,1.00005
1.00198,0.000216307,0.0170186,0.0166718,0.97406,1.00204,1.02975,6210.13,7022.88,0.999988
1.00198,0.000216307,0.0170186,0.0166718,0.97406,1.00204,1.02975,6210.13,7022.88,0.999988
0.984819,0.000237023,0.0187946,0.0186177,0.954023,0.984862,1.01566,6297.63,6760.97,0.999906
0.977831,0.000237491,0.0191982,0.0191211,0.946649,0.977777,1.00958,6544.57,6683.07,1.0
0.966168,0.000295577,0.022764,0.0225718,0.929098,0.966003,1.00332,5940.54,6452.36,0.999906
0.972045,0.000266347,0.0209629,0.0209439,0.937771,0.971816,1.00668,6207.46,6480.73,0.99991
0.972045,0.000266347,0.0209629,0.0209439,0.937771,0.971816,1.00668,6207.46,6480.73,0.99991
0.985353,0.000215758,0.0176874,0.0176704,0.956525,0.98529,1.01441,6735.25,6787.82,1.00025
0.999894,0.00018038,0.0151442,0.0149387,0.975334,0.99987,1.02486,7080.9,7126.1,1.00017
0.999894,0.00018038,0.0151442,0.0149387,0.975334,0.99987,1.02486,7080.9,7126.1,1.00017
1.01621,0.00013823,0.0122997,0.0122166,0.996152,1.01597,1.03723,7966.01,7326.34,1.00043
1.02598,0.000141641,0.0117091,0.0116681,1.00701,1.02587,1.0455,6906.67,6861.76,1.00017
1.02314,0.000132563,0.0117885,0.0117274,1.00398,1.02291,1.04315,7965.27,7128.24,1.00014
1.00267,0.000217276,0.0170553,0.016723,0.974682,1.00277,1.03046,6182.2,7088.91,0.999997
0.997743,0.000215474,0.017105,0.0168112,0.96987,0.997794,1.02565,6320.2,6971.07,1.00007
0.970267,0.00028488,0.0219968,0.0218646,0.934401,0.970044,1.00625,5972.91,6426.78,0.999854
0.970267,0.00028488,0.0219968,0.0218646,0.934401,0.970044,1.00625,5972.91,6426.78,0.999854
0.970267,0.00028488,0.0219968,0.0218646,0.934401,0.970044,1.00625,5972.91,6426.78,0.999854
0.968716,0.000281009,0.0218869,0.021772,0.932923,0.968503,1.00479,6076.04,6535.52,0.999906
0.977544,0.000248532,0.01976,0.0197208,0.945216,0.977429,1.01023,6331.6,6817.46,0.999878
0.993562,0.000197281,0.0163157,0.0161922,0.967136,0.993484,1.02045,6855.66,7105.1,1.00017
1.02694,0.000134177,0.0114709,0.011379,1.00833,1.02675,1.04629,7386.89,7176.82,1.00013
0.962513,0.000333639,0.0249224,0.0247802,0.921507,0.962203,1.00349,5586.27,6479.04,0.9999
0.990178,0.000185594,0.0159497,0.0157044,0.964348,0.990047,1.01668,7425.06,7372.5,1.0004
1.01654,0.000143971,0.0123405,0.0123723,0.996302,1.01642,1.03739,7428.33,6998.38,1.00031
1.02427,0.000137607,0.0116935,0.0116458,1.0053,1.02411,1.04391,7290.52,6983.76,1.00011
0.969513,0.000291447,0.0223735,0.0221382,0.932916,0.969297,1.00614,5903.38,6534.43,0.999845
0.964992,0.000303846,0.0232486,0.0231063,0.927071,0.964768,1.00297,5862.49,6424.55,0.999936
0.964992,0.000303846,0.0232486,0.0231063,0.927071,0.964768,1.00297,5862.49,6424.55,0.999936
0.967337,0.000295247,0.022683,0.0225318,0.930345,0.967144,1.00432,5911.29,6591.62,0.999897
1.00471,0.000162371,0.0139977,0.0138126,0.982066,1.00467,1.02795,7476.32,6996.37,1.00018
1.00987,0.00015818,0.0135602,0.0134027,0.987919,1.00984,1.03262,7397.68,7008.82,1.00023
1.02586,0.000129772,0.011496,0.0113938,1.00727,1.02564,1.04536,7906.65,7460.6,1.00016
1.01871,0.000151821,0.012927,0.0128023,0.997715,1.01872,1.04026,7292.58,7635.55,1.0001
1.00262,0.000220442,0.0172386,0.0169076,0.974401,1.00272,1.03073,6135.3,7122.55,1.0
1.00262,0.000220442,0.0172386,0.0169076,0.974401,1.00272,1.03073,6135.3,7122.55,1.0
0.96216,0.000319636,0.024209,0.0239625,0.922598,0.961874,1.00185,5743.46,6534.5,0.999929
0.966686,0.000299506,0.0229355,0.0227653,0.929215,0.966477,1.00416,5872.81,6620.48,0.999916
0.975415,0.000279291,0.0214518,0.0211715,0.940341,0.975295,1.01045,5910.29,6769.53,0.99983
1.00541,0.000183054,0.0150653,0.0148601,0.980849,1.00541,1.03028,6804.53,7233.56,1.00008
1.02086,0.000133963,0.0119142,0.0119201,1.00155,1.02067,1.04103,7965.72,6660.29,1.00029
1.03095,0.00013703,0.0113568,0.0112381,1.01251,1.03081,1.04992,6962.8,7174.3,1.00024
0.983768,0.000256128,0.0198534,0.0196556,0.951321,0.983774,1.01642,6021.43,6750.78,0.999881
0.973011,0.000269013,0.0210419,0.0210003,0.938578,0.972852,1.00754,6128.22,6708.59,0.999865
0.973011,0.000269013,0.0210419,0.0210003,0.938578,0.972852,1.00754,6128.22,6708.59,0.999865
1.00645,0.000149149,0.0132923,0.0132174,0.984778,1.00622,1.02902,7991.8,7384.74,1.00063
1.0201,0.000134949,0.0119154,0.0119127,1.00068,1.01987,1.04041,7847.25,7154.48,1.00021
1.02794,0.000128794,0.011343,0.0112233,1.0096,1.02771,1.0473,7814.87,6930.12,1.00008
1.02733,0.000128796,0.0114548,0.0114308,1.00883,1.0271,1.04681,7975.5,7359.3,1.00002
1.02154,0.00014185,0.0123465,0.0121944,1.00157,1.02146,1.0424,7601.11,7715.46,0.999962
1.02154,0.00014185,0.0123465,0.0121944,1.00157,1.02146,1.0424,7601.11,7715.46,0.999962
0.989945,0.000256866,0.0196731,0.0193153,0.95766,0.989999,1.02226,5879.27,6721.19,0.999819
0.973615,0.000254929,0.0203061,0.0203235,0.940451,0.973432,1.0072,6354.39,6586.86,0.999959
1.01889,0.000136051,0.0121014,0.012061,0.999165,1.01866,1.03948,7958.37,7176.83,1.00033
1.01564,0.000157702,0.0133417,0.0131803,0.993902,1.01566,1.03785,7200.57,7319.6,1.00006
1.01723,0.000153508,0.0130623,0.0129209,0.995917,1.01718,1.03901,7281.78,7635.3,1.00006
1.00981,0.000175435,0.0144807,0.0142033,0.986205,1.00985,1.03364,6840.37,7599.1,1.00001
1.00981,0.000175435,0.0144807,0.0142033,0.986205,1.00985,1.03364,6840.37,7599.1,1.00001
0.984794,0.000264565,0.0202739,0.0200536,0.951664,0.984779,1.01813,5886.77,6691.72,0.999879
0.972536,0.000283648,0.0218173,0.0217112,0.936829,0.972398,1.0083,5925.93,6683.92,0.999832
0.970789,0.000275145,0.0214747,0.0214458,0.935637,0.97058,1.00611,6102.58,6593.51,0.999901
0.980307,0.000246078,0.0194865,0.0193161,0.948321,0.98025,1.01243,6276.99,6572.84,0.999866
1.0194,0.000141076,0.0120747,0.0120535,0.999616,1.01924,1.03988,7411.08,6854.88,1.00013
1.0194,0.000141076,0.0120747,0.0120535,0.999616,1.01924,1.03988,7411.08,6854.88,1.00013
1.02547,0.00013907,0.0116657,0.0116236,1.00663,1.02526,1.04493,7117.97,6858.28,1.00014
1.02547,0.00013907,0.0116657,0.0116236,1.00663,1.02526,1.04493,7117.97,6858.28,1.00014
0.984514,0.000326011,0.0238241,0.0235859,0.945226,0.984658,1.02353,5339.28,6344.75,0.999941
0.981694,0.000262765,0.0202963,0.0200789,0.948491,0.981686,1.01511,5977.63,6751.25,0.999865
0.974765,0.00026086,0.0205337,0.0205392,0.940965,0.974617,1.00849,6208.31,6709.07,0.999867
0.966833,0.00028199,0.0220473,0.0218735,0.930899,0.966512,1.00326,6123.64,6507.99,0.999915
0.984095,0.000211984,0.0175789,0.0175807,0.955415,0.983961,1.01308,6893.47,6861.92,1.00024
1.01043,0.000146814,0.0129934,0.0128764,0.98937,1.01025,1.03253,7869.8,7545.49,1.00044
1.0353,0.000138554,0.0112496,0.0111047,1.01699,1.03512,1.05409,6682.47,7318.55,1.00033
1.0353,0.000138554,0.0112496,0.0111047,1.01699,1.03512,1.05409,6682.47,7318.55,1.00033
1.03691,0.000163754,0.0122814,0.0121203,1.01686,1.03679,1.05729,5716.02,6800.44,1.00046
1.01325,0.000147407,0.0129001,0.0128171,0.992326,1.01311,1.03517,7691.47,7530.75,1.00017
0.983755,0.000245515,0.0192889,0.0191626,0.952227,0.983776,1.01541,6184.91,6585.55,0.999911
0.983755,0.000245515,0.0192889,0.0191626,0.952227,0.983776,1.01541,6184.91,6585.55,0.999911
0.962572,0.000312756,0.0238349,0.0236319,0.923678,0.962301,1.00153,5816.71,6451.36,0.999937
0.999157,0.000212497,0.0168914,0.0166155,0.971648,0.999218,1.02686,6335.64,7001.04,1.00008
0.999157,0.000212497,0.0168914,0.0166155,0.971648,0.999218,1.02686,6335.64,7001.04,1.00008
0.983649,0.000249422,0.0195,0.0193946,0.951778,0.983608,1.0156,6127.43,6528.16,0.999919
0.983649,0.000249422,0.0195,0.0193946,0.951778,0.983608,1.0156,6127.43,6528.16,0.999919
0.967191,0.000303792,0.0231304,0.0228906,0.929334,0.966976,1.00519,5808.01,6479.09,0.999894
0.970872,0.000260745,0.0207594,0.020706,0.937222,0.970543,1.00527,6348.87,6587.4,0.999958
1.01866,0.000146032,0.0122559,0.0122018,0.99874,1.01864,1.03923,7129.33,6920.0,1.00019
