gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7
3.22066,-0.636502,-0.227435,-0.26108,0.029901,0.0766452,0.0192783
3.22007,-0.650379,-0.229991,-0.250729,0.0305689,0.0748014,0.0191702
3.2151,-0.654048,-0.2223,-0.25157,0.0298807,0.0766314,0.0190582
3.09408,-0.645883,-0.220506,-0.221687,0.0142659,0.0704398,0.0260762
3.06193,-0.625688,-0.222023,-0.229028,0.0147586,0.0715441,0.0254872
2.90576,-0.613716,-0.314691,-0.210379,0.0321502,0.0725748,0.0334945
2.89096,-0.469609,0.0489478,-0.199678,-2.56241e-05,0.0480573,-0.00555753
2.65734,-0.414589,-0.0895955,-0.167389,0.0190225,0.0410678,0.00540629
2.89857,-0.535227,-0.221273,-0.210416,0.0196566,0.0600525,0.0225732
2.90288,-0.536592,-0.211109,-0.206369,0.0217823,0.0603094,0.0235734
3.09788,-0.561002,-0.123377,-0.243758,0.0128264,0.0654487,0.0115485
2.9132,-0.577516,-0.135406,-0.197502,0.00506362,0.0623606,0.0197812
2.85227,-0.516157,-0.0867491,-0.185712,0.000583217,0.0522252,0.0134726
3.0013,-0.584015,-0.188341,-0.220324,0.0311282,0.0655106,0.0125107
3.00826,-0.571474,-0.17536,-0.220876,0.0309037,0.0647551,0.013572
3.00815,-0.550244,-0.192537,-0.231614,0.0330555,0.0665287,0.0168189
2.98669,-0.561378,-0.19811,-0.230665,0.0316353,0.0673914,0.015565
3.05679,-0.592936,-0.160973,-0.230702,0.0223408,0.0677184,0.0127007
2.94081,-0.539836,-0.152642,-0.21852,0.0220326,0.0628308,0.0144839
3.01611,-0.588748,-0.261158,-0.227313,0.0300652,0.0683877,0.023632
2.97355,-0.608028,-0.228194,-0.206673,0.0167455,0.066981,0.0272231
2.95406,-0.541649,-0.136461,-0.210842,0.0144247,0.0588377,0.0139852
3.07014,-0.596822,-0.132749,-0.23451,0.0135472,0.0697208,0.0134904
2.9009,-0.568301,-0.156929,-0.205687,0.00415201,0.0638196,0.020826
2.98017,-0.523449,-0.105775,-0.215652,0.0184634,0.0572507,0.00830916
2.98658,-0.519824,-0.102676,-0.216645,0.0177722,0.0565901,0.00814619
2.75916,-0.483769,-0.126008,-0.17964,0.00699813,0.0497378,0.0152246
3.29215,-0.686679,-0.200992,-0.266944,0.0208169,0.0827729,0.0204695
2.90471,-0.529131,-0.202365,-0.210588,0.0321848,0.0597998,0.016501
2.77646,-0.482484,-0.149454,-0.190525,0.0221644,0.0516167,0.0114194
2.79496,-0.479499,-0.154756,-0.190833,0.0229154,0.0515613,0.012575
2.93661,-0.532155,-0.0596902,-0.213682,0.01147,0.0593652,0.0040383
2.66959,-0.435085,-0.158069,-0.171473,0.0201034,0.0445806,0.0145135
2.92202,-0.527975,-0.0810573,-0.21048,0.00754398,0.0587004,0.00952282
2.57093,-0.423208,-0.19,-0.153176,0.0144321,0.0410482,0.0212375
3.24742,-0.690922,-0.254627,-0.264467,0.0246205,0.0849102,0.0275312
3.17045,-0.688225,-0.254919,-0.252698,0.0233835,0.0833306,0.0265007
3.00574,-0.56332,-0.0994089,-0.220632,0.0181034,0.0629284,0.00621154
3.05217,-0.645663,-0.303726,-0.228702,0.0225186,0.0758022,0.0346355
2.92694,-0.50163,-0.0551608,-0.214384,0.0142063,0.0557323,0.00244297
2.80192,-0.55718,-0.216932,-0.190079,0.00514993,0.0622494,0.030417
2.96214,-0.587865,-0.185264,-0.206518,-0.0104824,0.0641962,0.0325751
3.23513,-0.630803,-0.168161,-0.265498,0.0344694,0.0760104,0.00768515
3.22771,-0.635299,-0.157157,-0.263404,0.0383896,0.0790375,0.00918357
3.02052,-0.568034,-0.211909,-0.239301,0.0519763,0.070218,0.00986386
2.91225,-0.510446,-0.13831,-0.221255,0.0276341,0.0604946,0.00857022
2.8394,-0.486863,-0.0514919,-0.187517,-0.00192954,0.0493783,0.00881261
2.78695,-0.484346,-0.0661178,-0.190149,0.00679563,0.0520952,0.00792234
2.94674,-0.534796,-0.172423,-0.216112,0.0252745,0.0601642,0.0140539
2.87788,-0.553958,-0.254522,-0.208566,0.0279319,0.0644645,0.0257714
3.50785,-0.787022,-0.209947,-0.298735,0.0189132,0.0971648,0.0221342
3.27501,-0.672149,-0.199929,-0.265175,0.0346386,0.081108,0.0144863
3.27571,-0.677639,-0.258009,-0.268956,0.0352088,0.0838933,0.0239089
3.36111,-0.693939,-0.225618,-0.282486,0.0336726,0.0867991,0.0200993
3.41289,-0.732192,-0.276369,-0.291405,0.0373267,0.0927314,0.0258528
3.42064,-0.734865,-0.257562,-0.283373,0.0311538,0.0892288,0.0249717
3.15404,-0.640354,-0.217189,-0.25,0.0275072,0.0774692,0.0208231
3.08417,-0.623494,-0.246392,-0.238632,0.0248629,0.0752586,0.0267717
3.28622,-0.654679,-0.144867,-0.264728,0.0231512,0.0776096,0.0116742
3.13262,-0.663547,-0.244818,-0.23237,0.0136408,0.0757232,0.0302995
3.17327,-0.63434,-0.275229,-0.263673,0.0533079,0.0812947,0.0194768
2.64173,-0.456661,-0.12793,-0.169234,0.00871279,0.047987,0.0148445
2.73809,-0.475468,-0.126948,-0.182632,0.00681339,0.0505016,0.0156319
2.85441,-0.510601,-0.0278365,-0.194286,-0.00767749,0.053872,0.00778001
2.70256,-0.465072,-0.236383,-0.179418,0.0356108,0.0495341,0.0193219
2.75012,-0.495015,-0.207304,-0.184394,0.0251154,0.0537039,0.0191396
3.0992,-0.563654,-0.0708301,-0.233632,0.00781131,0.0629125,0.0073922
2.82384,-0.548827,-0.251056,-0.201416,0.0272533,0.0637855,0.0252645
3.18802,-0.636617,-0.168832,-0.246362,0.0132355,0.0732592,0.0191133
3.02867,-0.597381,-0.186703,-0.234472,0.0292483,0.0708,0.0131398
3.148,-0.598758,-0.107439,-0.245035,0.0184867,0.0695012,0.00787306
3.21084,-0.622273,-0.117567,-0.253717,0.0167592,0.0730418,0.010882
3.15794,-0.647322,-0.155694,-0.249488,0.0172,0.0785427,0.0164057
3.27172,-0.644566,-0.133884,-0.252921,0.00624874,0.0728031,0.0168659
2.78314,-0.474283,-0.141596,-0.185206,0.0183886,0.0491911,0.0137528
2.84587,-0.517836,-0.170333,-0.193094,0.0123698,0.0552505,0.0209257
3.10587,-0.563588,-0.140508,-0.240191,0.0247576,0.0653382,0.00949559
3.16182,-0.635832,-0.146153,-0.238547,0.00528376,0.0726812,0.0201127
3.10323,-0.571651,-0.185871,-0.246179,0.0402359,0.0691364,0.0106421
3.21183,-0.643483,-0.168195,-0.247306,0.0144269,0.0733924,0.0188078
2.84573,-0.506151,-0.157926,-0.201949,0.0196199,0.0567238,0.0144773
2.82023,-0.518033,-0.169798,-0.193786,0.0263751,0.057388,0.0142654
2.8735,-0.547007,-0.192528,-0.204925,0.0200869,0.0627373,0.0198093
3.01228,-0.577314,-0.218322,-0.223025,0.0247937,0.065674,0.0211138
3.17413,-0.591957,-0.127066,-0.246157,0.0241993,0.0673437,0.00876736
2.71775,-0.509611,-0.211177,-0.177861,0.0112725,0.056056,0.0265022
2.96084,-0.503106,-0.076507,-0.223891,0.0252628,0.05801,0.0012208
3.08377,-0.636067,-0.179232,-0.241262,0.0166306,0.0766326,0.0198456
3.39679,-0.71724,-0.208748,-0.274771,0.021828,0.0850883,0.0224556
3.27434,-0.691577,-0.248064,-0.263505,0.0282401,0.08377,0.0262737
3.29432,-0.682278,-0.245878,-0.265706,0.0300109,0.082276,0.0249699
3.35931,-0.728114,-0.210585,-0.273949,0.0252964,0.0874821,0.0182088
3.39549,-0.787056,-0.235342,-0.283603,0.00948343,0.0977653,0.030858
3.48407,-0.769342,-0.257344,-0.284764,0.0116028,0.0908732,0.0315111
3.54537,-0.822392,-0.325096,-0.301727,0.0232681,0.102348,0.0381947
3.46322,-0.741261,-0.269731,-0.294497,0.0309986,0.0913099,0.0255421
3.17607,-0.650092,-0.17442,-0.243596,0.0157658,0.0751959,0.0186268
3.04248,-0.58719,-0.181113,-0.224563,0.018204,0.0662451,0.018772
3.1153,-0.596315,-0.0886295,-0.233064,0.00322077,0.0672255,0.0117473
3.11338,-0.597546,-0.0900683,-0.233509,0.00299952,0.0671222,0.0117238
3.11714,-0.638138,-0.275782,-0.245757,0.0370718,0.0775578,0.0259528
3.24583,-0.639005,-0.0768217,-0.25256,0.00678207,0.0724521,0.00755372
2.9799,-0.580559,-0.240611,-0.218692,0.0310677,0.0649668,0.0201213
2.9096,-0.513966,-0.0702124,-0.19878,0.0110801,0.0536661,0.00652539
3.05319,-0.570275,-0.133442,-0.230359,0.0196296,0.0659074,0.013291
2.72707,-0.460354,-0.0646784,-0.178896,0.0104704,0.0469145,0.00406891
2.83185,-0.481706,-0.11869,-0.188077,0.0213218,0.0480609,0.00633302
2.88418,-0.545793,-0.117156,-0.208045,0.00731965,0.0623131,0.0156171
2.86571,-0.539377,-0.133703,-0.19082,0.00265097,0.0549945,0.0174104
2.65228,-0.429943,-0.14234,-0.178304,0.0268283,0.0462156,0.00814023
2.85501,-0.556131,-0.175672,-0.187077,0.00503028,0.0577549,0.0237819
2.84502,-0.514802,-0.17482,-0.201465,0.0190901,0.0579838,0.0190715
2.89368,-0.54699,-0.188253,-0.19954,0.0236803,0.0579572,0.0154855
2.88547,-0.516848,-0.0934825,-0.200319,0.00731082,0.0553481,0.0104206
3.27812,-0.626401,-0.132719,-0.27557,0.0366158,0.0781381,0.0044494
2.80529,-0.539874,-0.195179,-0.189179,0.00754219,0.0599242,0.0264156
3.253,-0.601371,-0.0910044,-0.256715,0.0232095,0.0676336,0.00155505
3.18243,-0.573299,-0.0682269,-0.25917,0.0261003,0.0693541,-0.000261372
3.09814,-0.606466,-0.125244,-0.240633,0.00456657,0.0714903,0.0166619
3.11399,-0.612353,-0.219712,-0.246457,0.0347237,0.0732673,0.0163069
3.13474,-0.614535,-0.215747,-0.258163,0.0363549,0.0764228,0.0153618
2.9817,-0.587166,-0.136735,-0.204942,0.00115635,0.0620478,0.0180239
2.90385,-0.577407,-0.271512,-0.206644,0.0251869,0.0657412,0.0282378
3.21023,-0.583194,-0.0356925,-0.255758,0.0158208,0.0681492,-0.00155169
2.59497,-0.430911,-0.145716,-0.167579,0.010357,0.0464032,0.0166706
3.26206,-0.664723,-0.14277,-0.249881,0.0165197,0.0750799,0.0126623
2.95529,-0.529722,-0.166216,-0.226227,0.0319959,0.0628576,0.00980941
3.10436,-0.577681,-0.105758,-0.233337,0.0155301,0.064419,0.0073369
2.94748,-0.543674,-0.186154,-0.221783,0.0276417,0.0630604,0.0150434
3.0465,-0.574662,-0.176294,-0.23938,0.0279429,0.069431,0.0131968
2.71719,-0.429176,-0.167971,-0.193578,0.0520173,0.0486992,0.000634108
2.85759,-0.492083,-0.151045,-0.206676,0.0330501,0.0572128,0.0103608
2.85558,-0.546609,-0.168765,-0.196705,-0.000465378,0.0605839,0.026428
2.89545,-0.536544,-0.178582,-0.216122,0.020994,0.063336,0.0177153
2.99253,-0.585832,-0.242893,-0.218862,0.039825,0.0659915,0.0172999
2.97605,-0.534312,-0.201725,-0.221752,0.0387673,0.0617988,0.0141562
3.24731,-0.668884,-0.105901,-0.250869,0.00647556,0.0782295,0.0157986
3.21415,-0.651451,-0.113806,-0.257785,0.00491585,0.0774269,0.0141894
3.20854,-0.647172,-0.116818,-0.249357,0.0066051,0.0735151,0.0118614
3.02802,-0.584403,-0.139519,-0.215457,0.00170925,0.0620406,0.0177721
2.8654,-0.45504,-0.136636,-0.211697,0.0435223,0.0524796,0.00290713
2.66475,-0.440201,-0.0877969,-0.167899,0.00578614,0.0444817,0.0106873
2.7682,-0.463578,-0.0795312,-0.178538,0.00686608,0.0450654,0.00798838
2.92683,-0.529401,-0.145153,-0.202095,0.00709413,0.0553651,0.0180865
3.12737,-0.583379,-0.136521,-0.253373,0.0312896,0.0719779,0.00702872
3.12195,-0.643064,-0.217083,-0.240325,0.0222178,0.0762469,0.021418
3.03207,-0.534633,-0.0529234,-0.231249,0.0180325,0.0618326,0.000132234
3.11383,-0.553644,-0.0448263,-0.242806,0.0234987,0.0628605,-0.00419249
3.11538,-0.525515,-0.0722125,-0.250588,0.0316077,0.0626484,-0.00219527
2.78587,-0.551726,-0.187508,-0.187612,0.00947637,0.0612395,0.0237339
3.01722,-0.560679,-0.112113,-0.22364,0.0191646,0.0631014,0.00798938
2.91688,-0.526646,-0.150257,-0.211371,0.0228077,0.0597095,0.0128438
2.82379,-0.444257,-0.0250032,-0.190147,0.0137652,0.0442696,-0.0015224
2.80452,-0.441746,-0.0258841,-0.190021,0.0130838,0.0451647,-0.00129332
2.63528,-0.466434,-0.187231,-0.165711,0.0126043,0.0487551,0.0224971
2.70722,-0.477789,-0.169453,-0.178421,0.0156942,0.0508197,0.0177006
2.82826,-0.50342,-0.159591,-0.20254,0.027809,0.057764,0.01342
2.90248,-0.487641,-0.0772675,-0.205261,0.0196599,0.0519372,0.00258989
2.76635,-0.469941,-0.177555,-0.188497,0.0188875,0.0508966,0.0192328
3.15125,-0.590153,-0.217931,-0.255004,0.0412489,0.0722882,0.0157557
2.95362,-0.593998,-0.149332,-0.208672,0.00439004,0.066464,0.0215716
3.1343,-0.580617,-0.104875,-0.244931,0.0353013,0.0677653,3.66986e-05
2.79525,-0.528837,-0.240041,-0.189529,0.00679803,0.0581394,0.0323419
2.73489,-0.511324,-0.178928,-0.177616,0.0116282,0.0532183,0.0199756
2.662,-0.457164,-0.0568803,-0.169247,0.0059144,0.0460316,0.00392726
2.67314,-0.454112,-0.0617951,-0.170384,0.00630297,0.0451345,0.00473072
2.80758,-0.463106,-0.0356215,-0.194597,0.00766583,0.0485071,0.000459403
2.86358,-0.469711,-0.0279116,-0.19987,0.013447,0.0503471,0.000258821
2.50868,-0.326274,-0.0818116,-0.147217,0.0212897,0.0268317,-5.79974e-05
2.48339,-0.346776,-0.0457883,-0.137777,0.00685013,0.0299497,0.00563921
