beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7
1.56608,1.61367,-0.319533,-0.0820275,0.13844,-0.148908,0.0790705
1.05853,1.89028,-0.149557,0.0189507,0.110504,-0.199097,0.0665016
1.06885,1.8699,-0.137279,0.0231709,0.113088,-0.197467,0.0648507
1.25257,1.8446,0.00734472,-0.000989316,0.0911188,-0.195422,0.0526167
1.18974,1.82985,-0.0940349,-0.00284938,0.092074,-0.189228,0.0668827
1.06624,1.85599,-0.265068,0.0128143,0.149526,-0.19177,0.0669429
1.14144,1.87637,-0.266008,-0.0224359,0.143561,-0.185669,0.0709161
1.30891,1.77258,-0.248637,-0.0379005,0.143781,-0.174155,0.0665887
1.47729,1.68957,-0.197144,-0.0601665,0.112909,-0.162075,0.074105
1.43176,1.72418,-0.309921,-0.0431153,0.142436,-0.171032,0.0756775
1.36585,1.68574,-0.327542,-0.0344539,0.118405,-0.164784,0.0908185
1.33334,1.71352,-0.31368,-0.0326541,0.117884,-0.167092,0.0887457
1.39202,1.73253,-0.175603,-0.0381454,0.110371,-0.171983,0.072352
1.34076,1.79074,-0.178473,-0.0367178,0.131731,-0.17854,0.0630507
1.32985,1.78369,-0.220435,-0.0395022,0.1502,-0.177025,0.0606251
1.24607,1.74484,-0.22312,-0.00673703,0.0982549,-0.178297,0.082307
1.17293,1.8481,-0.226236,-0.00795206,0.149221,-0.188277,0.0611815
1.4282,1.69077,-0.220336,-0.037448,0.102273,-0.167527,0.0821721
1.24895,1.8016,-0.245477,-0.0308146,0.139855,-0.177829,0.0684098
0.964015,1.8674,-0.187743,0.0289015,0.10691,-0.192712,0.0767772
1.81499,1.6158,-0.168638,-0.117172,0.114539,-0.150217,0.068046
1.66113,1.62582,-0.303653,-0.0997116,0.154984,-0.149531,0.0688205
1.68155,1.70125,-0.283458,-0.098278,0.157437,-0.162158,0.0655484
1.41479,1.65775,-0.216516,-0.0417387,0.100165,-0.159611,0.0841037
1.44005,1.64912,-0.272,-0.056761,0.118615,-0.156808,0.0820915
1.54266,1.72532,-0.219179,-0.0721428,0.147398,-0.168105,0.0605294
1.26061,1.71562,-0.232449,-0.0190911,0.109436,-0.169421,0.081489
1.27944,1.78709,-0.221308,-0.0385052,0.135492,-0.174494,0.0658276
1.22605,1.81682,-0.258578,-0.0210939,0.133241,-0.182845,0.0726565
1.21303,1.81051,-0.1872,-0.0241674,0.131486,-0.181387,0.0617941
1.16035,1.86519,-0.233105,-0.0120245,0.147245,-0.188483,0.0643482
1.10791,1.76816,-0.390235,0.00222344,0.135909,-0.175557,0.0940297
1.1325,1.76148,-0.349506,-0.00757036,0.133802,-0.172701,0.0893086
1.1205,1.78954,-0.276495,-0.00874678,0.141967,-0.178503,0.0697246
1.3969,1.70912,-0.11079,-0.0460193,0.0966193,-0.166806,0.0670648
0.980434,1.87891,-0.280563,0.00345643,0.149817,-0.188026,0.0667774
1.61267,1.70967,-0.136451,-0.0830102,0.133931,-0.163461,0.0567568
1.18357,1.8022,-0.344887,-0.0165939,0.155259,-0.178895,0.0760243
1.18815,1.75049,-0.379623,-0.00815072,0.142048,-0.17493,0.0856645
1.5248,1.68054,-0.294366,-0.0621053,0.137083,-0.161418,0.0790029
1.52807,1.66104,-0.321545,-0.0662516,0.134294,-0.159699,0.0817145
1.32139,1.74172,-0.35642,-0.0482021,0.163728,-0.165385,0.0749348
1.28793,1.75968,-0.372181,-0.0375106,0.166861,-0.17161,0.0753969
1.37441,1.71607,-0.280191,-0.0316884,0.112339,-0.170439,0.0885155
1.39261,1.78605,-0.129594,-0.0530193,0.132825,-0.175191,0.056854
1.1183,1.84179,-0.182969,-0.0083526,0.118397,-0.183177,0.0704554
1.42172,1.74593,-0.300005,-0.0577277,0.146875,-0.17025,0.0723735
1.82153,1.61669,-0.291563,-0.105547,0.140024,-0.153156,0.0748272
1.75641,1.55107,-0.320658,-0.112648,0.152116,-0.137859,0.0749325
1.84141,1.57553,-0.352297,-0.113359,0.148284,-0.145983,0.0804003
1.77507,1.58483,-0.328197,-0.115157,0.150949,-0.143798,0.0745565
1.40505,1.64288,-0.496685,-0.0561577,0.158546,-0.15289,0.0979986
1.34959,1.65075,-0.484967,-0.0505489,0.156221,-0.153339,0.0973237
1.52107,1.62941,-0.338398,-0.0807367,0.146759,-0.148532,0.0800784
1.59759,1.6211,-0.347979,-0.0743406,0.157796,-0.154118,0.074715
1.4231,1.76424,-0.186781,-0.0332545,0.113891,-0.180147,0.0715099
1.13947,1.77572,-0.255618,-0.00151938,0.127798,-0.177647,0.0771994
1.25816,1.7143,-0.382165,-0.0385236,0.152965,-0.16229,0.0838698
1.26139,1.7145,-0.382924,-0.0375127,0.152724,-0.162592,0.0839343
1.75574,1.60426,-0.156335,-0.0915981,0.108023,-0.152697,0.0709825
1.37339,1.69805,-0.380863,-0.0495731,0.149426,-0.161299,0.0856648
1.29339,1.75906,-0.172787,-0.029833,0.114474,-0.17341,0.0691526
1.45826,1.72876,-0.286125,-0.0672398,0.141346,-0.166847,0.0724189
1.13041,1.76611,-0.320211,-0.00299821,0.125445,-0.175662,0.0865642
1.50805,1.71864,-0.299724,-0.0656911,0.140574,-0.165732,0.0769786
1.03735,1.8465,-0.214468,0.0133572,0.11863,-0.190004,0.0722757
1.30667,1.71962,-0.260576,-0.0286992,0.12654,-0.167969,0.0782074
1.39424,1.76025,-0.169255,-0.0381286,0.114698,-0.175275,0.0706878
1.02754,1.87833,-0.217009,0.000943079,0.132979,-0.188767,0.0666678
1.35788,1.77421,-0.187345,-0.0279115,0.112508,-0.18065,0.070399
1.32462,1.75164,-0.185483,-0.0373678,0.122876,-0.171306,0.0675706
1.4073,1.77264,-0.180226,-0.0461829,0.125011,-0.176004,0.0668152
1.54083,1.67761,-0.271069,-0.0536296,0.128526,-0.165593,0.0767132
1.53941,1.64918,-0.264248,-0.0567553,0.115646,-0.160754,0.0812765
1.48411,1.76863,-0.117726,-0.0417238,0.12205,-0.179001,0.0585734
1.45425,1.74295,-0.142764,-0.0491023,0.116389,-0.17071,0.0659762
1.32752,1.80812,-0.134318,-0.0238561,0.110633,-0.186266,0.0658848
1.36822,1.78674,-0.144336,-0.0357199,0.120395,-0.180707,0.0624706
1.32275,1.73709,-0.247414,-0.0256892,0.124375,-0.173815,0.0753965
1.33263,1.75683,-0.247993,-0.0386143,0.124776,-0.172699,0.0766578
0.980372,1.95593,-0.0472066,0.0244188,0.104892,-0.207134,0.0535769
0.846498,1.90142,-0.172945,0.0272173,0.123226,-0.192548,0.0661592
1.03817,1.89331,-0.26774,0.0151673,0.131034,-0.194927,0.0772386
1.52208,1.6933,-0.192604,-0.054426,0.126754,-0.169188,0.0626028
0.931194,1.93478,-0.273279,0.0229888,0.13902,-0.197605,0.0767541
1.31318,1.7198,-0.272349,-0.0334411,0.12472,-0.167166,0.081155
0.873002,1.94245,-0.206654,0.0359472,0.123991,-0.202114,0.0710635
0.728004,2.05201,-0.0464827,0.0577637,0.116152,-0.218901,0.0488067
0.613065,2.09973,-0.104287,0.0708854,0.130071,-0.225802,0.0494861
0.883691,1.99299,-0.107997,0.0415683,0.130764,-0.211337,0.0536594
0.811458,1.95887,-0.197757,0.0524603,0.124462,-0.207676,0.0672954
1.30209,1.79184,-0.131502,-0.0197595,0.121614,-0.182688,0.0598441
